product_name,category,rating,review_text,true_sentiment,clean_review
Laptop,Books,5.0,Super happy with this purchase. Packaging was also excellent. Packaging was neat.,Positive,super happy purchase packaging also excellent packaging neat
Laptop,Home & Kitchen,5.0,Works like a charm. Very happy with the overall experience. Packaging was neat.,Positive,work like charm happy overall experience packaging neat
Jeans,Beauty,5.0,Fantastic product at a very reasonable price point.,Positive,fantastic product reasonable price point
Blender,Sports,5.0,Works like a charm. Very happy with the overall experience.,Positive,work like charm happy overall experience
Yoga Mat,Books,4.0,Works like a charm. Very happy with the overall experience. Delivery was quick.,Positive,work like charm happy overall experience delivery quick
Jeans,Electronics,4.0,Best purchase I have made this year. Highly recommend! Very impressed overall.,Positive,best purchase made year highly recommend impressed overall
Yoga Mat,Clothing,4.0,The product is durable and looks exactly like the pictures.,Positive,product durable look exactly like picture
Coffee Maker,Clothing,4.0,Best purchase I have made this year. Highly recommend! Recommended to friends.,Positive,best purchase made year highly recommend recommended friend
Shampoo,Beauty,5.0,Excellent build quality and quick shipping. Five stars!,Positive,excellent build quality quick shipping five star
Shampoo,Clothing,5.0,Great value for money. The product works perfectly.,Positive,great value money product work perfectly
Yoga Mat,Electronics,4.0,Outstanding customer service and excellent product quality. Would buy again.,Positive,outstanding customer service excellent product quality would buy
Headphones,Beauty,5.0,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,best purchase made year highly recommend expected though
Blender,Beauty,4.0,Amazing quality and fast delivery. Will definitely buy again.,Positive,amazing quality fast delivery definitely buy
Yoga Mat,Books,4.0,Outstanding customer service and excellent product quality.,Positive,outstanding customer service excellent product quality
Python Guide,Books,5.0,Super happy with this purchase. Packaging was also excellent. Good build quality.,Positive,super happy purchase packaging also excellent good build quality
Blender,Electronics,5.0,Great value for money. The product works perfectly. Very impressed overall.,Positive,great value money product work perfectly impressed overall
Blender,Home & Kitchen,5.0,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,amazing quality fast delivery definitely buy recommended friend
Yoga Mat,Sports,4.0,Fantastic product at a very reasonable price point. Delivery was quick.,Positive,fantastic product reasonable price point delivery quick
Dumbbells,Electronics,5.0,Works like a charm. Very happy with the overall experience. Very impressed overall.,Positive,work like charm happy overall experience impressed overall
Headphones,Home & Kitchen,4.0,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,excellent build quality quick shipping five star expected though
Blender,Sports,5.0,Amazing quality and fast delivery. Will definitely buy again. Good build quality.,Positive,amazing quality fast delivery definitely buy good build quality
Blender,Sports,4.0,Fantastic product at a very reasonable price point. Very impressed overall.,Positive,fantastic product reasonable price point impressed overall
Face Cream,Sports,4.0,Absolutely love this product! Exceeded all my expectations.,Positive,absolutely love product exceeded expectation
Blender,Electronics,5.0,Excellent build quality and quick shipping. Five stars! Very impressed overall.,Positive,excellent build quality quick shipping five star impressed overall
Face Cream,Electronics,5.0,Great value for money. The product works perfectly. Would buy again.,Positive,great value money product work perfectly would buy
T-Shirt,Books,4.0,Great value for money. The product works perfectly. Not what I expected though.,Positive,great value money product work perfectly expected though
Face Cream,Sports,5.0,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,excellent build quality quick shipping five star size perfect
Headphones,Sports,5.0,Super happy with this purchase. Packaging was also excellent. Not what I expected though.,Positive,super happy purchase packaging also excellent expected though
T-Shirt,Beauty,4.0,Great value for money. The product works perfectly. Delivery was quick.,Positive,great value money product work perfectly delivery quick
Face Cream,Home & Kitchen,5.0,Best purchase I have made this year. Highly recommend! Would buy again.,Positive,best purchase made year highly recommend would buy
Blender,Electronics,4.0,Absolutely love this product! Exceeded all my expectations. Packaging was neat.,Positive,absolutely love product exceeded expectation packaging neat
Face Cream,Home & Kitchen,4.0,Super happy with this purchase. Packaging was also excellent.,Positive,super happy purchase packaging also excellent
Novel,Electronics,4.0,Outstanding customer service and excellent product quality. Packaging was neat.,Positive,outstanding customer service excellent product quality packaging neat
Face Cream,Home & Kitchen,5.0,Amazing quality and fast delivery. Will definitely buy again. Delivery was quick.,Positive,amazing quality fast delivery definitely buy delivery quick
Blender,Beauty,4.0,Absolutely love this product! Exceeded all my expectations. Very impressed overall.,Positive,absolutely love product exceeded expectation impressed overall
T-Shirt,Home & Kitchen,5.0,Absolutely love this product! Exceeded all my expectations. Delivery was quick.,Positive,absolutely love product exceeded expectation delivery quick
Python Guide,Books,5.0,Outstanding customer service and excellent product quality. Delivery was quick.,Positive,outstanding customer service excellent product quality delivery quick
Python Guide,Beauty,4.0,The product is durable and looks exactly like the pictures. Would buy again.,Positive,product durable look exactly like picture would buy
Dumbbells,Books,5.0,Super happy with this purchase. Packaging was also excellent. The size was perfect.,Positive,super happy purchase packaging also excellent size perfect
Coffee Maker,Electronics,5.0,Super happy with this purchase. Packaging was also excellent. Recommended to friends.,Positive,super happy purchase packaging also excellent recommended friend
Headphones,Sports,5.0,Great value for money. The product works perfectly. Good build quality.,Positive,great value money product work perfectly good build quality
Laptop,Beauty,5.0,The product is durable and looks exactly like the pictures. Delivery was quick.,Positive,product durable look exactly like picture delivery quick
Headphones,Books,4.0,Great value for money. The product works perfectly. The size was perfect.,Positive,great value money product work perfectly size perfect
Coffee Maker,Sports,5.0,Outstanding customer service and excellent product quality. The size was perfect.,Positive,outstanding customer service excellent product quality size perfect
T-Shirt,Clothing,5.0,Best purchase I have made this year. Highly recommend!,Positive,best purchase made year highly recommend
Shampoo,Books,5.0,Absolutely love this product! Exceeded all my expectations. Good build quality.,Positive,absolutely love product exceeded expectation good build quality
Coffee Maker,Beauty,5.0,Amazing quality and fast delivery. Will definitely buy again. Packaging was neat.,Positive,amazing quality fast delivery definitely buy packaging neat
Dumbbells,Home & Kitchen,4.0,The product is durable and looks exactly like the pictures. Good build quality.,Positive,product durable look exactly like picture good build quality
Dumbbells,Home & Kitchen,4.0,Fantastic product at a very reasonable price point. The size was perfect.,Positive,fantastic product reasonable price point size perfect
Dumbbells,Electronics,5.0,Works like a charm. Very happy with the overall experience. Would buy again.,Positive,work like charm happy overall experience would buy
Shampoo,Clothing,4.0,Fantastic product at a very reasonable price point. Would buy again.,Positive,fantastic product reasonable price point would buy
Python Guide,Books,5.0,Amazing quality and fast delivery. Will definitely buy again. Not what I expected though.,Positive,amazing quality fast delivery definitely buy expected though
Laptop,Home & Kitchen,4.0,Works like a charm. Very happy with the overall experience. Good build quality.,Positive,work like charm happy overall experience good build quality
Laptop,Books,4.0,Super happy with this purchase. Packaging was also excellent. Would buy again.,Positive,super happy purchase packaging also excellent would buy
Jeans,Electronics,5.0,Great value for money. The product works perfectly. Packaging was neat.,Positive,great value money product work perfectly packaging neat
Novel,Clothing,5.0,Fantastic product at a very reasonable price point. Packaging was neat.,Positive,fantastic product reasonable price point packaging neat
T-Shirt,Electronics,5.0,Fantastic product at a very reasonable price point. Not what I expected though.,Positive,fantastic product reasonable price point expected though
Jeans,Electronics,5.0,Fantastic product at a very reasonable price point. Recommended to friends.,Positive,fantastic product reasonable price point recommended friend
Novel,Home & Kitchen,5.0,Absolutely love this product! Exceeded all my expectations. Not what I expected though.,Positive,absolutely love product exceeded expectation expected though
Shampoo,Beauty,5.0,Outstanding customer service and excellent product quality. Good build quality.,Positive,outstanding customer service excellent product quality good build quality
Coffee Maker,Electronics,4.0,Super happy with this purchase. Packaging was also excellent. Very impressed overall.,Positive,super happy purchase packaging also excellent impressed overall
Novel,Home & Kitchen,5.0,Outstanding customer service and excellent product quality. Recommended to friends.,Positive,outstanding customer service excellent product quality recommended friend
Shampoo,Clothing,4.0,Amazing quality and fast delivery. Will definitely buy again. The size was perfect.,Positive,amazing quality fast delivery definitely buy size perfect
Jeans,Clothing,5.0,Works like a charm. Very happy with the overall experience. Not what I expected though.,Positive,work like charm happy overall experience expected though
Dumbbells,Electronics,4.0,Excellent build quality and quick shipping. Five stars! Would buy again.,Positive,excellent build quality quick shipping five star would buy
Jeans,Home & Kitchen,4.0,Best purchase I have made this year. Highly recommend! Delivery was quick.,Positive,best purchase made year highly recommend delivery quick
Laptop,Electronics,4.0,Absolutely love this product! Exceeded all my expectations. The size was perfect.,Positive,absolutely love product exceeded expectation size perfect
Dumbbells,Books,4.0,Fantastic product at a very reasonable price point. Good build quality.,Positive,fantastic product reasonable price point good build quality
Python Guide,Electronics,5.0,The product is durable and looks exactly like the pictures. Not what I expected though.,Positive,product durable look exactly like picture expected though
Shampoo,Home & Kitchen,5.0,Outstanding customer service and excellent product quality. Very impressed overall.,Positive,outstanding customer service excellent product quality impressed overall
Yoga Mat,Beauty,4.0,Best purchase I have made this year. Highly recommend! Good build quality.,Positive,best purchase made year highly recommend good build quality
Jeans,Sports,4.0,Great value for money. The product works perfectly. Recommended to friends.,Positive,great value money product work perfectly recommended friend
Python Guide,Electronics,5.0,Absolutely love this product! Exceeded all my expectations. Recommended to friends.,Positive,absolutely love product exceeded expectation recommended friend
Python Guide,Clothing,4.0,The product is durable and looks exactly like the pictures. The size was perfect.,Positive,product durable look exactly like picture size perfect
Novel,Books,5.0,Excellent build quality and quick shipping. Five stars! Packaging was neat.,Positive,excellent build quality quick shipping five star packaging neat
Laptop,Sports,4.0,The product is durable and looks exactly like the pictures. Recommended to friends.,Positive,product durable look exactly like picture recommended friend
Headphones,Clothing,5.0,Excellent build quality and quick shipping. Five stars! Good build quality.,Positive,excellent build quality quick shipping five star good build quality
Face Cream,Beauty,4.0,Works like a charm. Very happy with the overall experience. The size was perfect.,Positive,work like charm happy overall experience size perfect
Python Guide,Electronics,4.0,The product is durable and looks exactly like the pictures. Very impressed overall.,Positive,product durable look exactly like picture impressed overall
Laptop,Beauty,5.0,Amazing quality and fast delivery. Will definitely buy again. Would buy again.,Positive,amazing quality fast delivery definitely buy would buy
Yoga Mat,Clothing,5.0,Works like a charm. Very happy with the overall experience. Recommended to friends.,Positive,work like charm happy overall experience recommended friend
Python Guide,Beauty,4.0,Best purchase I have made this year. Highly recommend! Packaging was neat.,Positive,best purchase made year highly recommend packaging neat
Blender,Beauty,5.0,The product is durable and looks exactly like the pictures. Packaging was neat.,Positive,product durable look exactly like picture packaging neat
Jeans,Electronics,4.0,Outstanding customer service and excellent product quality. Not what I expected though.,Positive,outstanding customer service excellent product quality expected though
Headphones,Electronics,5.0,Absolutely love this product! Exceeded all my expectations. Would buy again.,Positive,absolutely love product exceeded expectation would buy
Shampoo,Beauty,5.0,Best purchase I have made this year. Highly recommend! The size was perfect.,Positive,best purchase made year highly recommend size perfect
Dumbbells,Clothing,5.0,Super happy with this purchase. Packaging was also excellent. Delivery was quick.,Positive,super happy purchase packaging also excellent delivery quick
Face Cream,Clothing,5.0,Amazing quality and fast delivery. Will definitely buy again. Very impressed overall.,Positive,amazing quality fast delivery definitely buy impressed overall
Python Guide,Sports,4.0,Excellent build quality and quick shipping. Five stars! Recommended to friends.,Positive,excellent build quality quick shipping five star recommended friend
Headphones,Sports,2.0,"Terrible quality, looks nothing like the pictures online. Would buy again.",Negative,terrible quality look nothing like picture online would buy
Python Guide,Clothing,2.0,Product arrived damaged and return process was a nightmare. Recommended to friends.,Negative,product arrived damaged return process nightmare recommended friend
Novel,Sports,1.0,Worst purchase ever. Complete waste of money.,Negative,worst purchase ever complete waste money
Shampoo,Clothing,2.0,Not worth the price. Very cheap materials used.,Negative,worth price cheap material used
Yoga Mat,Beauty,2.0,Extremely fragile. Broke on first use. Very disappointing.,Negative,extremely fragile broke first use disappointing
Novel,Books,1.0,Customer service was rude and unhelpful. Never buying again.,Negative,customer service rude unhelpful never buying
Headphones,Clothing,2.0,Poor packaging and the item stopped working immediately.,Negative,poor packaging item stopped working immediately
Headphones,Beauty,2.0,Poor packaging and the item stopped working immediately. Not what I expected though.,Negative,poor packaging item stopped working immediately expected though
T-Shirt,Sports,1.0,Very disappointed. Product broke after just two days.,Negative,disappointed product broke two day
Novel,Electronics,2.0,"Terrible quality, looks nothing like the pictures online. Recommended to friends.",Negative,terrible quality look nothing like picture online recommended friend
Jeans,Sports,2.0,Not worth the price. Very cheap materials used. Delivery was quick.,Negative,worth price cheap material used delivery quick
Yoga Mat,Clothing,2.0,Poor packaging and the item stopped working immediately. The size was perfect.,Negative,poor packaging item stopped working immediately size perfect
Laptop,Electronics,1.0,Poor packaging and the item stopped working immediately. Very impressed overall.,Negative,poor packaging item stopped working immediately impressed overall
Coffee Maker,Beauty,1.0,Very disappointed. Product broke after just two days. Good build quality.,Negative,disappointed product broke two day good build quality
Dumbbells,Sports,2.0,"Terrible quality, looks nothing like the pictures online.",Negative,terrible quality look nothing like picture online
Jeans,Sports,1.0,"Terrible quality, looks nothing like the pictures online. The size was perfect.",Negative,terrible quality look nothing like picture online size perfect
Jeans,Books,1.0,Very disappointed. Product broke after just two days. Recommended to friends.,Negative,disappointed product broke two day recommended friend
Novel,Books,1.0,Poor packaging and the item stopped working immediately. Delivery was quick.,Negative,poor packaging item stopped working immediately delivery quick
T-Shirt,Clothing,2.0,Horrible experience from order to delivery. Avoid this seller. Recommended to friends.,Negative,horrible experience order delivery avoid seller recommended friend
Shampoo,Home & Kitchen,1.0,Horrible experience from order to delivery. Avoid this seller.,Negative,horrible experience order delivery avoid seller
Novel,Beauty,2.0,Very disappointed. Product broke after just two days. Not what I expected though.,Negative,disappointed product broke two day expected though
Laptop,Home & Kitchen,1.0,Worst purchase ever. Complete waste of money. The size was perfect.,Negative,worst purchase ever complete waste money size perfect
Shampoo,Clothing,4.0,Poor packaging and the item stopped working immediately. Packaging was neat.,Negative,poor packaging item stopped working immediately packaging neat
Coffee Maker,Home & Kitchen,2.0,Not worth the price. Very cheap materials used. Good build quality.,Negative,worth price cheap material used good build quality
Novel,Electronics,2.0,Shipping took forever and the product was defective on arrival. Delivery was quick.,Negative,shipping took forever product defective arrival delivery quick
Novel,Clothing,2.0,Extremely fragile. Broke on first use. Very disappointing. Good build quality.,Negative,extremely fragile broke first use disappointing good build quality
Headphones,Home & Kitchen,2.0,Customer service was rude and unhelpful. Never buying again. Delivery was quick.,Negative,customer service rude unhelpful never buying delivery quick
Dumbbells,Sports,1.0,Extremely fragile. Broke on first use. Very disappointing. The size was perfect.,Negative,extremely fragile broke first use disappointing size perfect
